gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000185829	ARL17A	-14.3675934086	-0.414349960516	8.26537936699e-47	0.116480734913	0.324200037106	6.34264542127e-10	8.71252858866e-09	13	20	20	8.26537936699e-47	2.94908735814203e-43	2.94908735814203e-43	Brain_Caudate_basal_ganglia
ENSG00000176681	LRRC37A	-14.0633044712	-0.265219751819	6.38345051565e-45	0.298905995472	0.554453184943	6.69324364553e-19	7.09671545084e-17	46	67	67	6.38345051565e-45	1.13880757199196e-41	2.27761514398392e-41	Brain_Caudate_basal_ganglia
ENSG00000238083	LRRC37A2	-13.9606989959	-0.471684023726	2.70765174149e-44	0.0937052415545	0.601310339398	2.77938800343e-21	4.96325185781e-19	21	37	37	2.70765174149e-44	3.22030047121211e-41	9.66090141363632e-41	Brain_Caudate_basal_ganglia
ENSG00000136235	GPNMB	8.80907505365	0.186830405995	1.26182683917e-18	0.132290594395	0.316378686874	1.1275771056e-09	1.43776026774e-08	11	12	12	1.26182683917e-18	1.12554954053964e-15	4.50219816215856e-15	Brain_Caudate_basal_ganglia
ENSG00000138722	MMRN1	8.76863753144	0.395951272968	1.80841187731e-18	0.0291896014938	0.0408947537144	0.0436206261226	0.0428737868155	6	7	7	1.80841187731e-18	1.29048271564842e-15	6.45241357824208e-15	Brain_Caudate_basal_ganglia
ENSG00000004468	CD38	-8.52148645626	-0.228025897905	1.57518436979e-17	0.099190797708	0.16767205811	2.33348758994e-05	9.22760389774e-05	15	18	18	1.57518436979e-17	9.36709638568453e-15	5.62025783141072e-14	Brain_Caudate_basal_ganglia
ENSG00000136243	NUPL2	8.34547383941	0.31613042216	7.09289202389e-17	0.0386146749886	0.0772449505753	0.00511438932229	0.00823178301761	25	25	25	7.09289202389e-17	3.61534839160565e-14	2.53074387412395e-13	Brain_Caudate_basal_ganglia
ENSG00000103496	STX4	7.4288907	0.450737651863	1.09512188871e-13	0.0203194640057	0.0422343541744	0.0402463583615	0.0403713278655	4	4	4	1.09512188871e-13	4.8842436236466e-11	3.90739489891728e-10	Brain_Caudate_basal_ganglia
ENSG00000225190	PLEKHM1	-5.95970221622	-0.109126241657	2.5269798773e-09	0.227309662253	0.286893199709	9.34818323262e-09	9.58230430675e-08	52	75	75	2.5269798773e-09	1.00180713357849e-06	9.0162642022064e-06	Brain_Caudate_basal_ganglia
ENSG00000103510	KAT8	-5.71698706027	-0.134128994827	1.08429370226e-08	0.111536873113	0.154054504736	5.36896739434e-05	0.00018664299076	23	28	28	1.08429370226e-08	3.86875992966368e-06	3.86875992966368e-05	Brain_Caudate_basal_ganglia
ENSG00000163749	CCDC158	-5.66502459319	-0.232005884453	1.47003450786e-08	0.0428845043128	0.044661448662	0.0348018338236	0.036142961124	21	22	22	1.47003450786e-08	4.76825738549498e-06	5.24508312404448e-05	Brain_Caudate_basal_ganglia
ENSG00000164733	CTSB	-5.6221843798	-0.119821640867	1.88557855201e-08	0.128610128658	0.230794250598	4.22902916173e-07	2.89871966682e-06	20	24	24	1.88557855201e-08	5.60645356130973e-06	6.72774427357168e-05	Brain_Caudate_basal_ganglia
ENSG00000069275	NUCKS1	-5.26936162939	-0.199840992204	1.36899022956e-07	0.0495827007648	0.0780403189131	0.00488204320956	0.00791034960013	8	8	8	1.36899022956e-07	3.75735164543852e-05	0.000488455713907008	Brain_Caudate_basal_ganglia
ENSG00000164615	CAMLG	-5.21812764099	-0.0853173197563	1.80740897311e-07	0.206469569472	0.269758214107	3.07988889711e-08	2.83960523159e-07	31	31	31	1.80740897311e-07	4.60631086861177e-05	0.000644883521605648	Brain_Caudate_basal_ganglia
ENSG00000189157	FAM47E	-5.13561650078	-0.144148661076	2.81220604442e-07	0.101471777903	0.158891805336	3.99791406629e-05	0.000145541979912	45	47	47	2.81220604442e-07	6.68930077766037e-05	0.00100339511664906	Brain_Caudate_basal_ganglia
ENSG00000235109	ZSCAN31	4.98055865869	0.0760203577906	6.34009809556e-07	0.28081315119	0.28533487986	1.04300949866e-08	1.05952823084e-07	33	50	50	6.34009809556e-07	0.000141384187530988	0.00226214700049581	Brain_Caudate_basal_ganglia
ENSG00000077943	ITGA8	-4.89865709023	-0.145713132932	9.64938759311e-07	0.0916303778799	0.101828785905	0.00121224440982	0.00254047003904	17	20	20	9.64938759311e-07	0.000202523617248332	0.00344290149322165	Brain_Caudate_basal_ganglia
ENSG00000178226	PRSS36	-4.77010337733	-0.116312011313	1.84131398115e-06	0.113291327083	0.182980160144	9.03211185436e-06	4.09145920897e-05	10	11	11	1.84131398115e-06	0.0003649893491524	0.0065698082847432	Brain_Caudate_basal_ganglia
ENSG00000178222	RNF212	4.74136038801	0.158477360637	2.12287922958e-06	0.0603343071842	0.142923748132	0.000105342580421	0.000334346655545	21	28	28	2.12287922958e-06	0.00039865437321797	0.00757443309114144	Brain_Caudate_basal_ganglia
ENSG00000196502	SULT1A1	4.66688034759	0.172266073571	3.05807290329e-06	0.0609387513603	0.17043346152	1.96826214254e-05	7.99824326136e-05	10	13	13	3.05807290329e-06	0.000545560205946936	0.0109112041189387	Brain_Caudate_basal_ganglia
ENSG00000131899	LLGL1	-4.52425824734	-0.145452975299	6.06076848519e-06	0.0703038916693	0.111012058785	0.000705876478039	0.00164263821516	17	27	27	6.06076848519e-06	0.00101158536502763	0.0216248219551579	Brain_Caudate_basal_ganglia
ENSG00000103549	RNF40	-4.51817970459	-0.0964821612707	6.23735370813e-06	0.167287058905	0.0560448327397	0.017719388643	0.0220705098853	36	47	47	6.23735370813e-06	0.00101158536502763	0.0222548780306078	Brain_Caudate_basal_ganglia
ENSG00000126561	STAT5A	4.4360897157	0.340682708089	9.16076813675e-06	0.0111975570203	0.0706149773917	0.00753640506733	0.0111953807789	9	16	16	9.16076813675e-06	0.0014211139439967	0.032685620711924	Brain_Caudate_basal_ganglia
ENSG00000131055	COX4I2	-4.38060144411	-0.210975055455	1.1835217628e-05	0.0344435113439	0.0900784581094	0.00241461804657	0.00445489476097	5	10	10	1.1835217628e-05	0.00175950235402933	0.042228056496704	Brain_Caudate_basal_ganglia
ENSG00000100417	PMM1	-4.36506075082	-0.224117480428	1.27087433785e-05	0.0243867249238	0.055905552591	0.0178654419778	0.0221791485247	5	6	6	1.27087433785e-05	0.00181034165726966	0.045344796374488	Brain_Caudate_basal_ganglia
ENSG00000204178	TMEM57	4.35689665555	0.221166184937	1.31919515384e-05	0.0281413558674	0.0763466547007	0.00539013534749	0.00856990468269	8	10	10	1.31919515384e-05	0.00181034165726966	0.0470688830890112	Brain_Caudate_basal_ganglia
